ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,TOTAL_REVENUE,YEAR,MONTH
10270,32.0,85.72,1,2743.04,2004-07-19T00:00:00.000Z,Shipped,3,7,2004,Trucks and Buses,96.0,S32_1268,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2743.04,2004,7
10127,46.0,100.0,9,6176.42,2003-06-03T00:00:00.000Z,Shipped,2,6,2003,Trucks and Buses,115.0,S50_1392,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,4600.0,2003,6
10361,20.0,60.54,4,1210.8,2004-12-17T00:00:00.000Z,Shipped,4,12,2004,Planes,91.0,S700_1691,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1210.8,2004,12
10270,46.0,88.0,4,4048.0,2004-07-19T00:00:00.000Z,Shipped,3,7,2004,Classic Cars,101.0,S700_2824,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,4048.0,2004,7
10361,26.0,51.15,8,1329.9,2004-12-17T00:00:00.000Z,Shipped,4,12,2004,Motorcycles,118.0,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1329.8999999999999,2004,12
10361,34.0,100.0,6,3871.92,2004-12-17T00:00:00.000Z,Shipped,4,12,2004,Vintage Cars,65.0,S24_3420,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,3400.0,2004,12
10361,44.0,100.0,10,5001.92,2004-12-17T00:00:00.000Z,Shipped,4,12,2004,Planes,80.0,S700_3167,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,4400.0,2004,12
10342,55.0,65.45,1,3599.75,2004-11-24T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,77.0,S18_1889,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3599.75,2004,11
10127,22.0,100.0,15,3837.24,2003-06-03T00:00:00.000Z,Shipped,2,6,2003,Classic Cars,169.0,S18_3232,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,2200.0,2003,6
10270,32.0,100.0,2,4302.08,2004-07-19T00:00:00.000Z,Shipped,3,7,2004,Classic Cars,147.0,S10_4962,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,3200.0,2004,7
10420,55.0,96.3,8,5296.5,2005-05-29T00:00:00.000Z,In Process,2,5,2005,Classic Cars,117.0,S24_2887,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,5296.5,2005,5
10120,43.0,76.0,14,3268.0,2003-04-29T00:00:00.000Z,Shipped,2,4,2003,Planes,80.0,S700_3167,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3268.0,2003,4
10391,29.0,85.1,10,2467.9,2005-03-09T00:00:00.000Z,Shipped,1,3,2005,Trucks and Buses,116.0,S18_1097,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2467.8999999999996,2005,3
10120,34.0,83.79,5,2848.86,2003-04-29T00:00:00.000Z,Shipped,2,4,2003,Motorcycles,76.0,S24_2000,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2848.86,2003,4
10169,48.0,80.55,10,3866.4,2003-11-04T00:00:00.000Z,Shipped,4,11,2003,Motorcycles,81.0,S50_4713,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,3866.3999999999996,2003,11
10204,38.0,100.0,16,6432.64,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,142.0,S18_1984,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,3800.0,2003,12
10324,30.0,100.0,9,3338.1,2004-11-05T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,35.0,S24_2840,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Medium,3000.0,2004,11
10337,29.0,71.97,4,2087.13,2004-11-21T00:00:00.000Z,Shipped,4,11,2004,Ships,122.0,S24_2011,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Small,2087.13,2004,11
10223,25.0,100.0,14,2534.75,2004-02-20T00:00:00.000Z,Shipped,1,2,2004,Planes,91.0,S700_1691,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2500.0,2004,2
10139,20.0,90.06,2,1801.2,2003-07-16T00:00:00.000Z,Shipped,3,7,2003,Vintage Cars,104.0,S18_3136,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1801.2,2003,7
10420,45.0,26.88,1,1209.6,2005-05-29T00:00:00.000Z,In Process,2,5,2005,Vintage Cars,33.0,S24_1937,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1209.6,2005,5
10370,22.0,96.86,7,2130.92,2005-01-20T00:00:00.000Z,Shipped,1,1,2005,Trucks and Buses,60.0,S18_2432,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2130.92,2005,1
10361,26.0,100.0,9,2754.7,2004-12-17T00:00:00.000Z,Shipped,4,12,2004,Planes,99.0,S700_2466,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2600.0,2004,12
10125,32.0,100.0,1,3254.72,2003-05-21T00:00:00.000Z,Shipped,2,5,2003,Vintage Cars,102.0,S18_1342,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3200.0,2003,5
10391,37.0,46.9,7,1735.3,2005-03-09T00:00:00.000Z,Shipped,1,3,2005,Classic Cars,147.0,S10_4962,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,1735.3,2005,3
10347,30.0,100.0,1,3944.7,2004-11-29T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,214.0,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3000.0,2004,11
10204,45.0,76.26,6,3431.7,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,71.0,S18_4933,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,3431.7000000000003,2003,12
10139,46.0,100.0,1,5545.76,2003-07-16T00:00:00.000Z,Shipped,3,7,2003,Vintage Cars,101.0,S18_2949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,4600.0,2003,7
10347,42.0,49.6,5,2083.2,2004-11-29T00:00:00.000Z,Shipped,4,11,2004,Trucks and Buses,116.0,S18_1097,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2083.2000000000003,2004,11
10169,24.0,94.58,6,2269.92,2003-11-04T00:00:00.000Z,Shipped,4,11,2003,Classic Cars,80.0,S24_4620,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2269.92,2003,11
10127,45.0,51.95,13,2337.75,2003-06-03T00:00:00.000Z,Shipped,2,6,2003,Trucks and Buses,54.0,S32_2509,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Small,2337.75,2003,6
10127,24.0,100.0,11,2559.6,2003-06-03T00:00:00.000Z,Shipped,2,6,2003,Trucks and Buses,118.0,S12_4473,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Small,2400.0,2003,6
10391,33.0,100.0,8,8344.71,2005-03-09T00:00:00.000Z,Shipped,1,3,2005,Vintage Cars,33.0,S24_1937,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Large,3300.0,2005,3
10204,48.0,91.02,11,4368.96,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,107.0,S24_3432,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,4368.96,2003,12
10391,39.0,63.2,9,2464.8,2005-03-09T00:00:00.000Z,Shipped,1,3,2005,Trucks and Buses,136.0,S12_1666,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2464.8,2005,3
10349,26.0,100.0,10,4408.56,2004-12-01T00:00:00.000Z,Shipped,4,12,2004,Classic Cars,173.0,S12_3891,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,2600.0,2004,12
10342,39.0,40.4,9,1575.6,2004-11-24T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,37.0,S24_2972,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,1575.6,2004,11
10319,30.0,100.0,9,4111.8,2004-11-03T00:00:00.000Z,Shipped,4,11,2004,Motorcycles,150.0,S12_2823,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,NA,Kuo,Kee,Medium,3000.0,2004,11
10223,47.0,100.0,9,4724.91,2004-02-20T00:00:00.000Z,Shipped,1,2,2004,Planes,84.0,S18_2581,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,4700.0,2004,2
10127,29.0,70.84,6,2054.36,2003-06-03T00:00:00.000Z,Shipped,2,6,2003,Trains,62.0,S32_3207,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Small,2054.36,2003,6
10223,37.0,100.0,1,3965.66,2004-02-20T00:00:00.000Z,Shipped,1,2,2004,Motorcycles,95.0,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3700.0,2004,2
10237,39.0,100.0,9,7023.9,2004-04-05T00:00:00.000Z,Shipped,2,4,2004,Motorcycles,193.0,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Large,3900.0,2004,4
10139,31.0,100.0,7,3184.94,2003-07-16T00:00:00.000Z,Shipped,3,7,2003,Vintage Cars,102.0,S18_1342,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,3100.0,2003,7
10270,21.0,100.0,9,4905.39,2004-07-19T00:00:00.000Z,Shipped,3,7,2004,Classic Cars,214.0,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,2100.0,2004,7
10169,32.0,70.76,5,2264.32,2003-11-04T00:00:00.000Z,Shipped,4,11,2003,Classic Cars,80.0,S18_3278,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2264.32,2003,11
10204,45.0,49.81,12,2241.45,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,50.0,S24_1628,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Small,2241.4500000000003,2003,12
10347,27.0,100.0,2,4428.0,2004-11-29T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,147.0,S10_4962,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2700.0,2004,11
10204,33.0,100.0,4,5890.5,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Vintage Cars,170.0,S18_1749,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,3300.0,2003,12
10370,27.0,56.85,9,1534.95,2005-01-20T00:00:00.000Z,Shipped,1,1,2005,Classic Cars,169.0,S18_3232,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,1534.95,2005,1
10163,42.0,91.55,5,3845.1,2003-10-20T00:00:00.000Z,Shipped,4,10,2003,Vintage Cars,97.0,S24_4258,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium,3845.1,2003,10
10324,27.0,100.0,12,3155.49,2004-11-05T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,169.0,S18_3232,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Medium,2700.0,2004,11
10204,20.0,62.47,10,1249.4,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,73.0,S24_1046,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Small,1249.4,2003,12
10204,47.0,96.32,8,4527.04,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,90.0,S24_2766,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,4527.04,2003,12
10324,33.0,100.0,3,6267.69,2004-11-05T00:00:00.000Z,Shipped,4,11,2004,Vintage Cars,97.0,S24_4258,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Medium,3300.0,2004,11
10223,41.0,46.26,13,1896.66,2004-02-20T00:00:00.000Z,Shipped,1,2,2004,Vintage Cars,43.0,S50_1341,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,1896.6599999999999,2004,2
10223,49.0,100.0,3,9774.03,2004-02-20T00:00:00.000Z,Shipped,1,2,2004,Motorcycles,193.0,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,4900.0,2004,2
10204,35.0,100.0,15,5735.8,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,141.0,S18_3685,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,3500.0,2003,12
10204,42.0,100.0,17,6182.4,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,141.0,S18_1129,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,4200.0,2003,12
10270,38.0,100.0,11,4775.08,2004-07-19T00:00:00.000Z,Shipped,3,7,2004,Vintage Cars,104.0,S18_3136,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,3800.0,2004,7
10169,38.0,68.39,8,2598.82,2003-11-04T00:00:00.000Z,Shipped,4,11,2003,Motorcycles,62.0,S18_3782,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,2598.82,2003,11
10319,46.0,73.98,1,3403.08,2004-11-03T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,80.0,S18_3278,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,NA,Kuo,Kee,Medium,3403.0800000000004,2004,11
10223,20.0,66.04,12,1320.8,2004-02-20T00:00:00.000Z,Shipped,1,2,2004,Vintage Cars,68.0,S32_4289,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,1320.8000000000002,2004,2
10127,25.0,100.0,5,3447.0,2003-06-03T00:00:00.000Z,Shipped,2,6,2003,Classic Cars,143.0,S18_4027,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,2500.0,2003,6
10319,45.0,100.0,3,7901.1,2004-11-03T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,148.0,S18_4721,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,NA,Kuo,Kee,Large,4500.0,2004,11
10139,20.0,71.2,3,1424.0,2003-07-16T00:00:00.000Z,Shipped,3,7,2003,Vintage Cars,62.0,S18_2957,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,1424.0,2003,7
10270,44.0,58.36,7,2567.84,2004-07-19T00:00:00.000Z,Shipped,3,7,2004,Vintage Cars,50.0,S18_4668,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,2567.84,2004,7
10342,40.0,100.0,2,6454.4,2004-11-24T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,141.0,S18_1129,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,4000.0,2004,11
10204,40.0,79.62,9,3184.8,2003-12-02T00:00:00.000Z,Shipped,4,12,2003,Classic Cars,85.0,S24_3191,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,3184.8,2003,12
10163,21.0,100.0,1,4860.24,2003-10-20T00:00:00.000Z,Shipped,4,10,2003,Classic Cars,214.0,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium,2100.0,2003,10
10370,49.0,100.0,8,8470.14,2005-01-20T00:00:00.000Z,Shipped,1,1,2005,Trucks and Buses,136.0,S12_1666,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Large,4900.0,2005,1
10127,46.0,69.12,4,3179.52,2003-06-03T00:00:00.000Z,Shipped,2,6,2003,Trains,58.0,S50_1514,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,3179.5200000000004,2003,6
10342,22.0,100.0,3,3160.74,2004-11-24T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,142.0,S18_1984,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,2200.0,2004,11
10349,38.0,100.0,8,6719.54,2004-12-01T00:00:00.000Z,Shipped,4,12,2004,Classic Cars,163.0,S18_2238,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Medium,3800.0,2004,12
10120,46.0,58.15,4,2674.9,2003-04-29T00:00:00.000Z,Shipped,2,4,2003,Motorcycles,60.0,S18_2625,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,2674.9,2003,4
10319,44.0,59.06,4,2598.64,2004-11-03T00:00:00.000Z,Shipped,4,11,2004,Motorcycles,62.0,S18_3782,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,NA,Kuo,Kee,Small,2598.6400000000003,2004,11
10324,31.0,100.0,2,3820.44,2004-11-05T00:00:00.000Z,Shipped,4,11,2004,Trucks and Buses,127.0,S24_2300,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Medium,3100.0,2004,11
10349,33.0,46.53,1,1535.49,2004-12-01T00:00:00.000Z,Shipped,4,12,2004,Trucks and Buses,54.0,S32_2509,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA,NA,Young,Jeff,Small,1535.49,2004,12
10237,26.0,40.23,2,1045.98,2004-04-05T00:00:00.000Z,Shipped,2,4,2004,Motorcycles,40.0,S32_2206,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Small,1045.98,2004,4
10342,25.0,66.74,5,1668.5,2004-11-24T00:00:00.000Z,Shipped,4,11,2004,Classic Cars,80.0,S18_3278,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,1668.4999999999998,2004,11
10148,25.0,100.0,12,4232.0,2003-09-11T00:00:00.000Z,Shipped,3,9,2003,Classic Cars,142.0,S18_1984,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Medium,2500.0,2003,9
10120,39.0,100.0,10,4651.53,2003-04-29T00:00:00.000Z,Shipped,2,4,2003,Planes,109.0,S24_1785,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,3900.0,2003,4
10169,34.0,50.21,1,1707.14,2003-11-04T00:00:00.000Z,Shipped,4,11,2003,Classic Cars,61.0,S24_3371,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,1707.14,2003,11
